Pelipper | PepperBird
Talonflame | Brave Bird
Azumarill | Raid Champion
Garchomp | Grandpa
Florges | Iron Petals
Talonflame | Brave Bird
Azumarill | Raid Champion
Garchomp | Grandpa
Houndstone | Skellydoge
Palafin | All Might
Chien-Pao | POW!
Dragapult | Gambino
Florges | Iron Petals
Talonflame | Brave Bird
Garchomp | Grandpa
Chien-Pao | Tai Lung
Dragonite | Horus
Gyarados | Taniwha
Chien-Pao | Hien
Corviknight | Corv
Chi-Yu | Chiy
Sylveon | Sylv
Masquerain | de Havilland
Coalossal | Armavee
Ting-Lu | Israfel
Amoonguss | Toad
Chi-Yu | Lucy
Talonflame | Birdie
Maushold | Maureece
Arcanine | ReoNa
Flutter Mane | Itachi Rin
Tyranitar | Mr. Boombastic
Houndstone | Gordon
Talonflame | Blazen
Brute Bonnet | Brutus
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Chien-Pao | Hot Dog
Arcanine | Optimus
Klefki | クレッフィ
Masquerain | de Havilland
Coalossal | Armavee
Ting-Lu | Israfel
Amoonguss | Toad
Sandy Shocks | Coarse & Rough
Skeledirge | Spitfire
Noivern | Batman™
Sableye | DiSableye
Gyarados | Muhmaid
Raichu | Mickey
Iron Valiant | Alita
Appletun | Toby
Kingambit | Tokugawa
Rabsca | Crown Jewel
Skuntank | Elvis
Annihilape | Hamlet's Dad
Iron Valiant | Alita
Maushold | Remy + Fam
Skeledirge | Festus
Appletun | Toby
Kingambit | Tokugawa
Rabsca | Crown Jewel
Skuntank | Elvis
Annihilape | Hamlet's Dad
Breloom | Ursula
Palafin | Cecil
Iron Bundle | Moogle
Sandy Shocks | Coarse & Rough
Maushold | Mauscasualties
Skeledirge | Spitfire
Sableye | DiSableye
Murkrow | C'mon C'mon
Chi-Yu | B.H. Sun
Corviknight | Mr. Jones
Leafeon | Plantasia
Masquerain | de Havilland
Coalossal | Armavee
Ting-Lu | Israfel
Amoonguss | Toad
Chien-Pao | Rawr XD
Palafin | ElCaramocho
Chien-Pao | Diego
Amoonguss | Amogus
Gholdengo | OroLatam
Ting-Lu | Tiki
Palafin | Marino
Arcanine | Fun Police
Kingambit | Magnus
Chien-Pao | Rawr XD
Arcanine | Meow
Palafin | Uwu
Pelipper | Pelicaro
Palafin | ElCaramocho
Chien-Pao | Diego
Iron Hands | FerroTCalmas
Chi-Yu | Lucy
Maushold | Maureece
Breloom | Papago
Chien-Pao | Chaff
Pelipper | Pelicaro
Palafin | ElCaramocho
Chien-Pao | Diego
Iron Hands | FerroTCalmas
Hydreigon | Airrazor
Kingambit | Megatron
Baxcalibur | Dinobot
Salazzle | Waspinator
Hatterene | Hattereeniemeenie
Farigiraf | GiraffeffariG
Clawitzer | Red Lobster
Toxicroak | CroaHunk
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Hydreigon | Airrazor
Baxcalibur | Dinobot
Iron Bundle | Rattrap
Gengar | Silverbolt
Great Tusk | Manny
Hatterene | Hattereeniemeenie
Farigiraf | GiraffeffariG
Ting-Lu | Claude
Flutter Mane | Gravestone
Iron Bundle | 5A1NT_N1K
Amoonguss | Mellow
Zoroark | Guess who
Annihilape | Monke
Maushold | Fambly
Dragapult | Zippy
Annihilape | Wraith
Gardevoir | Bait
Abomasnow | Snowmore
Iron Bundle | Literally Delibird
Flutter Mane | Itachi Rin
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Dragapult | Turkeyleg
Chien-Pao | Whimsi-Pao
Iron Bundle | Gimbob
Flutter Mane | Fluttercott
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Hawlucha | Dudulucha
Tyranitar | Ryan Crouser
Lycanroc | The Boomer
Armarouge | Tier 3 Sub
Indeedee | VTuber
Flutter Mane | Cabeça de Borracha
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Grimmsnarl | Jack
Corviknight | Crow
Annihilape | Akisa
Clodsire | Yusei
Farigiraf | Lady Kubwa
Dragonite | Big Bertha
Tinkaton | Bratz
Arcanine | Lassie
Floatzel | Palafin (real)
Lycanroc | The Boomer
Indeedee | VTuber
Brute Bonnet | Ungamoonguss
Torkoal | LET HIM COOK
Baxcalibur | Aokiji
Arcanine | Maddogg
Hawlucha | Dudulucha
Dudunsparce | Quiet kid
Jolteon | Peter Quill
Flamigo | plastic
Annihilape | Monke
Maushold | Fambly
Dragonite | Hulk
Bronzong | BigBen
Iron Hands | Gigante Cass
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Annihilape | Martin
Maushold | Michele
Flutter Mane | Cihuacóatl
Chi-Yu | Xiuhtecuhtli
Gholdengo | Chantico
Murkrow | Ehécatl
Annihilape | Martin
Maushold | Michele
Indeedee | Quaso
Hatterene | Maitetxu
Gallade | Eduardo
Torkoal | He gomitao
Chien-Pao | donovan
Dragapult | scamin grannies
Arcanine | leaveituptogod
Flutter Mane | pboyrunitup
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Iron Valiant | Royal Thee
Iron Bundle | Click-Clack
Houndstone | Skellydoge
Tyranitar | Rawr XD
Palafin | All Might
Dragapult | Gambino
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Leafeon | Plantasia
Palafin | MoistCrit
Amoonguss | OliverTree
Kingambit | Hasanabi
Flutter Mane | PokiMane
Chien-Pao | Bill Cipher
Flutter Mane | Wendy
Palafin | Kayla My Love 😘
Amoonguss | Not Amoonguss
Flutter Mane | Itachi Rin
Arcanine | ReoNa
Kingambit | Hitto
Palafin | Dozo
Chien-Pao | Bundle
Amoonguss | WoChien
Arcanine | ChiYu
Flutter Mane | EEEEEEEEEEE
Amoonguss | Amogus
Chien-Pao | Cat
Dragonite | My man
Murkrow | C'mon C'mon
Chi-Yu | B.H. Sun
Corviknight | Mr. Jones
Annihilape | Wraith
Sylveon | Valentine
Abomasnow | Snowmore
Iron Bundle | Literally Delibird
Murkrow | C'mon C'mon
Houndstone | Dragula
Corviknight | Mr. Jones
Leafeon | Plantasia
Amoonguss | Toad
Arcanine | Brutus
Annihilape | Angy
Flutter Mane | flutter ya mane
Chi-Yu | LOVE BETRAYAL
Iron Bundle | bundle of bitches
Iron Hands | catch these hands
Flutter Mane | flutter ya mane
Iron Bundle | bundle of bitches
Amoonguss | AMOGUS
Iron Hands | catch these hands
Palafin | Dozo
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Impidimp | Tale as old
Revavroom | As time
Flamigo | Song as old
Lycanroc | As rhyme
Tinkaton | Sledge Queen
Slowking | Sluggish Chungus
Honchkrow | Big Bird
Beartic | Beardy Bear
Ting-Lu | Drink Me
Ceruledge | Ow The Edge
Amoonguss | Sus
Tauros | Agua Furiosa
Indeedee | Quaso
Hatterene | Maitetxu
Kingambit | Relajao
Gallade | Eduardo
Impidimp | Tale as old
Lycanroc | As rhyme
Masquerain | Apple
Misdreavus | Versus Matt
Tinkaton | Sledge Queen
Slowking | Sluggish Chungus
Zangoose | HOENN 2 THE TOP
Bellibolt | Mighty Morphin'
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Corviknight | Mr. Jones
Flutter Mane | flutter ya mane
Chi-Yu | LOVE BETRAYAL
Iron Hands | catch these hands
Dondozo | Leo
Grimmsnarl | Jack
Corviknight | Crow
Tatsugiri | Luna
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Arcanine | Nugget
Palafin | PalaWIN
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Rotom | ioechu
Ceruledge | Me
Amoonguss | Amogus
Palafin | Pabafin
Chi-Yu | SnapThatChildsBack
Torkoal | NLE Torkoal
Flutter Mane | Cardi D
Great Tusk | Boaz
Iron Hands | WENAW
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Murkrow | C'mon C'mon
Houndstone | Dragula
Corviknight | Mr. Jones
Leafeon | Plantasia
Lilligant | Weeeeee
Flutter Mane | Cardi D
Great Tusk | Boaz
Iron Hands | WENAW
Flutter Mane | Itachi Rin
Murkrow | Badwish
Tyranitar | Godzilla
Houndstone | Dragula
Chi-Yu | B.H. Sun
Corviknight | Mr. Jones
Arcanine | Nugget
Palafin | PalaWIN
Dragonite | My man
Salamence | Sally Salami
Grimmsnarl | Orcbolg
Armarouge | Don Fuego
Corviknight | Don Quixote
Tyranitar | Gucci Godzilla
Murkrow | Funnyman
Iron Bundle | FuturamaS2E4
Ting-Lu | Drink Me
Ceruledge | Ow The Edge
Tauros | Agua Furiosa
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Chi-Yu | B.H. Sun
Corviknight | Mr. Jones
Flutter Mane | Yoda
Wo-Chien | Jabba The Hutt
Arcanine | AT-AT
Palafin | The Force
Iron Bundle | FuturamaS2E4
Ceruledge | Ow The Edge
Flutter Mane | Banned
Tauros | Agua Furiosa
Hydreigon | Nigersaurus
Chi-Yu | Phish
Iron Bundle | FuturamaS2E4
Ting-Lu | Drink Me
Flutter Mane | Banned
Tauros | Agua Furiosa
Iron Hands | Sumo San
Iron Bundle | FuturamaS2E4
Ting-Lu | Drink Me
Ceruledge | Ow The Edge
Flutter Mane | Banned
Rotom | ioechu
Annihilape | Mugen
Arcanine | Teddy
Iron Bundle | Zuggins
Corviknight | Gummi
Arcanine | Sabueso de Lava
Dragonite | Droganite
Tatsugiri | Bako Kuri
Dondozo | El Gran Pez
Amoonguss | Toad
Arcanine | Brutus
Annihilape | Angy
Palafin | MoistCrit
Kingambit | Hasanabi
Flutter Mane | PokiMane
Dragonite | Patterz
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Murkrow | C'mon C'mon
Chi-Yu | B.H. Sun
Ting-Lu | EWGF
Arcanine | Falcon Punch
Palafin | Totsugeki
Murkrow | Stupid Crrrrrrow
Iron Bundle | The Milkman
Noivern | AAAAAAAAAAAAAAA
Oranguru | Monke
Amoonguss | Toad
Arcanine | Brutus
Annihilape | Angy
Ceruledge | Blue Protoman
Bruxish | Slay
Great Tusk | In-Denture-d
Chien-Pao | Bundle
Tatsugiri | droopy
Roaring Moon | notmence
Dondozo | don
Gholdengo | ThisGuy
Tatsugiri | Sushi
Dondozo | Louie ve don
Maushold | Triply
Annihilape | Ded ape
Ting-Lu | EWGF
Arcanine | Falcon Punch
Palafin | Totsugeki
Flutter Mane | awesomed sauce
Great Tusk | tire
Brute Bonnet | lol
Corviknight | biggest birde
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Chi-Yu | B.H. Sun
Orthworm | Dr. Worm
Chien-Pao | Meow
Dragapult | CPS
Arcanine | Good boy
Flutter Mane | Broke the game
Flutter Mane | Spectral Spaghetti
Iron Jugulis | Mega Dodrio
Bruxish | Flambuoyant
Chi-Yu | Fiendish Fish
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Chi-Yu | B.H. Sun
Iron Hands | Maradona
Palafin | Dozo
Arcanine | ChiYu
Flutter Mane | Mimi
Flutter Mane | Mimi
Palafin | Superman
Salamence | Bird up
Grimmsnarl | Grimy
Tatsugiri | SUSHI!
Dondozo | Donny D
Flutter Mane | Lil Flutty Mane
Scream Tail | HARLEY QUINN
Rotom | IRON TWITCH
Gholdengo | CASH APP
Brute Bonnet | bad trip
Annihilape | Metal Bat
Gholdengo | Goldstein
Murkrow | Crow
Arcanine | Falcon Punch
Flutter Mane | Soul Fist
Kingambit | 磕头将军
Ting-Lu | 诡角鹿
Altaria | 小裂空座
Cetitan | 太晶冰盖欧卡
Tatsugiri | SUSHI!
Dondozo | Donny D
Flutter Mane | Lil Flutty Mane
Flamigo | Steve
Sandy Shocks | Lust
Dondozo | Pride
Tatsugiri | Envy
Amoonguss | Sloth
Chi-Yu | Liyuu
Iron Bundle | 包袱包袱
Flutter Mane | Soul Fist
Palafin | Neos
Arcanine | Sonic
Ting-Lu | Fissure
Dondozo | Namazu
Tatsugiri | Ghost
Glimmora | Sulfera
Baxcalibur | King Arthur
Iron Bundle | 包袱包袱
Tatsugiri | SUSHI!
Dondozo | Donny D
Flutter Mane | Lil Flutty Mane
Flamigo | Samba De Flamigo
Arcanine | Mirror herb
Azumarill | Life orb
Flutter Mane | Imprison
Bronzong | Safety googles
Palafin | Dozo
Chien-Pao | Bundle
Arcanine | ChiYu
Dragapult | drake
Dragapult | Mf Pult
Murkrow | Playb Cartrow
Amoonguss | Toad
Arcanine | Brutus
Annihilape | Angy
Dondozo | Namazu
Tatsugiri | Ghost
Glimmora | Sulfera
Baxcalibur | King Arthur
Armarouge | BIG
Indeedee | SHOT
Flutter Mane | BUBBLER
Annihilape | RUN
Chi-Yu | Nemo
Dachsbun | Chocnut
Indeedee | Ice Spice
Hatterene | Cardi B
Kingambit | Average Munch
Palafin | PalmOfGin
Chi-Yu | Nemo
Dachsbun | Chocnut
Flutter Mane | Joice
Flutter Mane | FANCY
Kingambit | HOT
Dragonite | Espresso
Great Tusk | Trouble
Palafin | Finn Fury
Palafin | Finn Fury
Corviknight | Mercury
Palafin | Finn Fury
Corviknight | Mercury
Palafin | Bad Dolphin
Palafin | Finn Fury
Iron Hands | EL PAJERO
Iron Hands | EL PAJERO
Flutter Mane | TU NOVIA
Iron Bundle | PAPÁ NOEL
Flutter Mane | Trix
Chien-Pao | Poes
Amoonguss | Manolo
Flutter Mane | Mimi
Tyranitar | Queeeeedate
Lycanroc | Que
Flutter Mane | Las
Ting-Lu | Noches
Arcanine | Brutus
Annihilape | Angy
Annihilape | Ty
Maushold | The Littles
Flutter Mane | Myrtle
Palafin | Kara
Ting-Lu | Wickie
Amoonguss | Lui
Iron Hands | Rox
Chi-Yu | Sam
Palafin | Bad Dolphin
Arcanine | Goodest Boi
Flutter Mane | Mimi
Arcanine | AmongUs
Palafin | Bad Dolphin
Arcanine | Goodest Boi
Amoonguss | AMOGUS
Arcanine | AWOOOOOOOOOO
Ting-Lu | Fissure my beloved
Annihilape | Monke
Gholdengo | Goldoni
Amoonguss | The Last of Us
Flutter Mane | Devil wears Prada
Chi-Yu | Finding Nemo
Annihilape | Planet of Apes
Gastrodon | anti-christ
Great Tusk | Tasconi
Azumarill | Bracco
Chi-Yu | Dentoni
Brute Bonnet | Tu quoque
Ting-Lu | Fous
Rotom | Appa
Flutter Mane | Tranga Rugie
Wo-Chien | Negativ
Volcarona | Ra
Slither Wing | Khepri
Gothitelle | Addams
Scream Tail | LaPetiteMort
Flutter Mane | Grim Shady
Arcanine | R-K9
Armarouge | Munch
Indeedee | Ice Spice
Great Tusk | Quach
Hydreigon | Gucci Hamish
Flutter Mane | Cabeça de Borracha
Torkoal | 有点可爱
Oranguru | 不可爱
Annihilape | 很不可爱
Dragonite | Litera
Annihilape | Christian
Hydreigon | Noa
Gholdengo | Lyfen22
Torkoal | Breakthrough
Flutter Mane | FANCY
Kingambit | HOT
Dragonite | Espresso
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Chi-Yu | B.H. Sun
Orthworm | Dr. Worm
Jumpluff | H&M
Torkoal | Fiji
Gyarados | I wanted Arcanine
Dragapult | Spirit
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Orthworm | Dr. Worm
Lilligant | 蔡徐坤
Torkoal | 陈立农
Flutter Mane | 黄明昊
Stantler | Baars
Annihilape | Dura
Torkoal | Toby
Lilligant | Lars
Scizor | Emboar Jr.
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Corviknight | Mr. Jones
Stantler | Baars
Annihilape | Dura
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Chien-Pao | White Sword
Arcanine | Red Dog
Dragapult | Bomber
Amoonguss | Sick Mushroom
Torkoal | BIG MAN
Bronzong | bronzdong v2
Breloom | shroom
Iron Bundle | Fe10
Torkoal | Toby
Lilligant | Lars
Brute Bonnet | Bruting they bonet
Torkoal | BIG MAN
Bronzong | bronzdong v2
Iron Bundle | Fe10
Murkrow | C'mon C'mon
Tyranitar | Godzilla
Houndstone | Dragula
Chi-Yu | B.H. Sun
Great Tusk | Tasconi
Chi-Yu | Dentoni
Iron Bundle | Bando
Flutter Mane | Occhialoni
Arcanine | Shishi
Amoonguss | Among Us
Flutter Mane | Nukekubi
Chien-Pao | Tai Lung
Arcanine | good boi
Rotom | IRON MUGULIS
Tyranitar | Great Tyrant
Corviknight | IRON BIRD
Chi-Yu | Nemo
Dachsbun | Chocnut
Flutter Mane | Joice
Baxcalibur | Riko
Garganacl | Salty
Tinkaton | Tinkatonk
Ting-Lu | Lingu-a
Chi-Yu | KOIto
Slither Wing | Reptalada
Torkoal | BIG MAN
Bronzong | bronzdong v2
Breloom | shroom
Iron Bundle | Fe10
Garganacl | Salty
Oranguru | 很不可爱
Annihilape | 很不可爱
Amoonguss | Seta
Palafin | Delfin
Tinkaton | Tinkatonk
Ting-Lu | Lingu-a
Iron Hands | Su Hermano
Ting-Lu | Su Novio
Flutter Mane | LaKMeGusta
Chi-Yu | Su Ex
Lucario | Vox
Flutter Mane | Trix
Chien-Pao | Poes
Amoonguss | Phallus
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Chien-Pao | Diego
Dragapult | Mazinga
Amoonguss | SerFungus
Arcanine | Doggo
Flutter Mane | Mimi
Flutter Mane | YoruNiKakeru
Chi-Yu | Sangenshoku
Amoonguss | Halzion
Gyarados | Gunjou
Garganacl | Salty
Tinkaton | Tinkatonk
Ting-Lu | Lingu-a
Ting-Lu | Fous
Arcanine | Pauline!
Rotom | Appa
Flutter Mane | Tranga Rugie
Ting-Lu | Rex
Gothitelle | Artificer
Flutter Mane | Void Fiend
Iron Hands | Loader
Dondozo | Gluttony
Tatsugiri | Envy
Flutter Mane | Lust
Corviknight | Pride
Grimmsnarl | Skullgrin
Tauros | Sideways
Iron Bundle | Blitzwing
Sandy Shocks | Road Hauler
Tauros | Sideways
Rotom | Wheeljack
Iron Bundle | Blitzwing
Palafin | MoistCrit
Amoonguss | OliverTree
Kingambit | Hasanabi
Flutter Mane | PokiMane
Klefki | Lock
Arcanine | Subwoofer
Barraskewda | Fish from Nemo
Gyarados | Water Snek
Breloom | Doge
Pelipper | Cocao
Golduck | Gondolier
Great Tusk | Jet
Gyarados | Jumice
Scizor | ReyOscuro
Flutter Mane | Andres
Great Tusk | Tasconi
Chi-Yu | Dentoni
Iron Bundle | Bando
Gholdengo | Ciance
Salandit | Gremlin
Chi-Yu | Dentoni
Brute Bonnet | Tu quoque
Gholdengo | Ciance
Chi-Yu | Smiles Back
Flutter Mane | Flutter Mid
Tatsugiri | Pee Wee
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Torkoal | 有点可爱
Oranguru | 不可爱
Annihilape | 很不可爱
Chien-Pao | Tara
Dragapult | Horizon
Great Tusk | Tasconi
Chi-Yu | Dentoni
Iron Bundle | Bando
Gholdengo | Ciance
Chi-Yu | Smiles Back
Flutter Mane | Flutter Mid
Dondozo | Largo Margo
Tatsugiri | Pee Wee
Glimmora | Wheeeee!
Arcanine | No Shrooms
Chi-Yu | Smiles Back
Flutter Mane | Flutter Mid
Iron Bundle | Powah
Iron Hands | Bolk
Chi-Yu | Flutter Who?
Flutter Mane | Okay buddy
Ting-Lu | Erm Kinda cringe
Flutter Mane | Bag Lady
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Arcanine | good boi
Gastrodon | GROHAHSHSHSH
Tyranitar | Great Tyrant
Corviknight | IRON BIRD
Glimmora | Wheeeee!
Arcanine | No Shrooms
Chi-Yu | Smiles Back
Flutter Mane | Flutter Mid
Talonflame | Fawkes
Iron Hands | Hagrid
Gholdengo | Apple Jack
Chien-Pao | #252
Flutter Mane | Gucci Mane
Palafin | Your boy
Amoonguss | Among who?
Chien-Pao | General
Chi-Yu | Magic Lancer
Amoonguss | Tower
Corviknight | Royal Knight
Glimmora | Wheeeee!
Arcanine | No Shrooms
Chi-Yu | Smiles Back
Flutter Mane | Flutter Mid
Hawlucha | I apologise
Indeedee | But
Flutter Mane | I Will
Iron Bundle | Not be
Palafin | Dozo
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Wo-Chien | Wo-Chien-Goobs
Dragapult | Dragaputl
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Corviknight | Okalahoma
Arcanine | AnArcanyne
Garchomp | Mogaru
Scream Tail | Beholder
Corviknight | Roc
Tyranitar | Tarrasque
Amoonguss | imposter
Roaring Moon | rawrrrr
Amoonguss | *vineboom*
Flutter Mane | i hate
Roaring Moon | i like ya cut G
Gyarados | AAAAAAAAAA
Flutter Mane | Yoda
Wo-Chien | Jabba The Hutt
Gholdengo | C3-P0
Palafin | The Force
Roaring Moon | rawrrrr
Dugtrio | lil guy
Chi-Yu | TheLionsWouldWin
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Ting-Lu | Rex
Gothitelle | Artificer
Flutter Mane | Void Fiend
Amoonguss | Engineer
Annihilape | Monkey Business
Amoonguss | Psilocybin
Iron Bundle | Happy Holidays
Grimmsnarl | grime
Iron Hands | trap
Gastrodon | blues
Corviknight | grunge
Hawlucha | I apologise
Indeedee | But
Dondozo | Accepting
Tatsugiri | OTS
Chi-Yu | Chi Fish 🎣
Flutter Mane | Flucci Mane
Amoonguss | IDK's on third
Ting-Lu | Ting Luis XVIII
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Annihilape | Man I'm Dead💀
Chien-Pao | Chien-POW
Garchomp | Ur Grounded
Amoonguss | NOT A WORD
Flutter Mane | Void Fiend
Amoonguss | Engineer
Iron Hands | Loader
Arcanine | Captain
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Amoonguss | Sun Kil Moon
Maushold | DeadMau5
Palafin | Young Dolph
Gothitelle | Artificer
Flutter Mane | Void Fiend
Iron Hands | Loader
Arcanine | Captain
Gothitelle | Artificer
Flutter Mane | Void Fiend
Amoonguss | Engineer
Iron Hands | Loader
Gothitelle | Artificer
Flutter Mane | Void Fiend
Amoonguss | Engineer
Iron Hands | Loader
Abomasnow | Icesa
Iron Bundle | aquira
Palafin | Safaera
Pelipper | Remix ft.
Annihilape | Dawnspear
Corviknight | Corviminkia
Annihilape | Annihiminkia
Chien-Pao | Bundle
Amoonguss | WoChien
Arcanine | ChiYu
Palafin | Dozo
Dragapult | Dnite
Amoonguss | WoChien
Palafin | Safaera
Pelipper | Remix ft.
Glimmora | Wheeeee!
Wo-Chien | Grasstrodon
Dondozo | Largest Margest
Tatsugiri | Pee-wee
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Flutter Mane | Mimi
Roaring Moon | Highdreigon
Great Tusk | 1OfAKind
Iron Bundle | Arctofish
Flutter Mane | Mimicyou
Dragapult | PP
Arcanine | Pupper
Torkoal | Core koal
Lilligant | I insist
Flutter Mane | Mutter Flane
Chi-Yu | Snackfish
Chi-Yu | Sam
Chien-Pao | Tara
Dragapult | Horizon
Murkrow | Matsuemon
Brute Bonnet | Enmu
Flutter Mane | Itachi Rin
Chi-Yu | Tanjiro
Gholdengo | Zenitsu
Flutter Mane | Itachi Rin
Gothitelle | Get over here
Tinkaton | King DDD
Tyranitar | Ol Reliable
Amoonguss | Insert joke here
Amoonguss | Sun Kil Moon
Arcanine | Tech Nine
Maushold | DeadMau5
Palafin | Young Dolph
Murkrow | Matsuemon
Chi-Yu | Tanjiro
Great Tusk | Inosuke
Brute Bonnet | Enmu
Flutter Mane | Itachi Rin
Arcanine | Tech Nine
Maushold | DeadMau5
Palafin | Young Dolph
Flutter Mane | Cabeça de Borracha
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Flutter Mane | Cabeça de Borracha
Dragapult | Turkeyleg
Iron Bundle | Gimbob
Sandy Shocks | Pelomagneto
Torkoal | Smoky
Garganacl | Shitcraft
Dragapult | My Baby!
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Flutter Mane | Mimi
Ting-Lu | Cocchetto
Orthworm | Gabibbo
Gyarados | Gyaragod
Kingambit | La Forchetta
Murkrow | Matsuemon
Iron Bundle | Giyu
Chi-Yu | Tanjiro
Brute Bonnet | Enmu
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Annihilape | Angy
Glimmora | Glimmy
Wo-Chien | Live Reaction
Flutter Mane | Fluttershy
Palafin | Shimmer
Scream Tail | Beholder
Corviknight | Roc
Gholdengo | Mimic
Gyarados | Arcanine Who?
Amoonguss | Friend
Flutter Mane | new jazz
Bronzong | dong
Baxcalibur | Snojira
Ting-Lu | Ting-Lucifer
Flutter Mane | Hussy
Talonflame | Rodan
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Maushold | HE HOLDS
Annihilape | KONG
Flutter Mane | #7 lol
Houndoom | Mi amo Puppy
Iron Hands | Big Show
Tauros | The Rock
Gholdengo | $Money in the Bank
Amoonguss | WoChien
Flutter Mane | Mimi
Palafin | Dozo
Torkoal | Arizona
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Annihilape | KONG
Flutter Mane | #7 lol
Houndoom | Mi amo Puppy
Scizor | Metal gear solid
Meowscarada | NikkitaLyon
Gholdengo | $Money in the Bank
Maushold | HE HOLDS
Annihilape | KONG
Flutter Mane | #7 lol
Houndoom | Mi amo Puppy
Meowscarada | NikkitaLyon
Iron Hands | Big Show
Gholdengo | $Money in the Bank
Palafin | Shimmer
Garchomp | Mogaru
Corviknight | Roc
Tyranitar | Tarrasque
Chewtle | Donatello
Wattrel | Banjo-Kazooie
Growlithe | Clifford
Spoink | Peppa
Dunsparce | DuDunn
Greavard | Candle Doge
Sandygast | Organic glory hole
Quaxly | I did not do 9/11
Murkrow | Kramurx
Impidimp | Impling
Deerling | Deeradimp
Flittle | Flittling
Snorunt | Snory
Misdreavus | Missy Elliott
Psyduck | Mr Worldwide
Hatenna | Ariana Grande
Clauncher | Michael Buble
Gholdengo | Fries
Flutter Mane | Balanced
Baxcalibur | Suica
Corviknight | Momentum
Gallade | Beyblade
Masquerain | de Havilland
Coalossal | Armavee
